,YTID,start_seconds,end_seconds,positive_labels,tags_k,tags,num_keys,num_tags
21,-38Qgsbh7NQ,100.0,110.0,"/m/013y1f,/m/03xq_f","['/m/013y1f', '/m/03xq_f']","['Music', 'Music']",2,2
22,-3HYdaJyF4U,30.0,40.0,"/m/04rlf,/m/06rqw","['/m/04rlf', '/m/06rqw']","['Music', 'Music']",2,2
23,-3IGxVTJvgI,30.0,40.0,"/m/06bz3,/m/09x0r","['/m/06bz3', '/m/09x0r']","['Channel environment and background', 'Human Sounds']",2,2
24,-3hKkjKmIGE,30.0,40.0,"/m/019jd,/m/06q74","['/m/019jd', '/m/06q74']","['Sounds of things', 'Sounds of things']",2,2
25,-3pPrlCm6gg,30.0,40.0,/m/01wy6,['/m/01wy6'],['Music'],1,1
26,-4NLarMj4xU,30.0,40.0,"/m/04rlf,/t/dd00034","['/m/04rlf', '/t/dd00034']","['Music', 'Music']",2,2
27,-4RWqM0UCCY,0.0,10.0,"/m/012n7d,/m/02mfyn,/m/03j1ly,/m/03kmc9","['/m/012n7d', '/m/02mfyn', '/m/03j1ly', '/m/03kmc9']","['Sounds of things', 'Sounds of things', 'Sounds of things', 'Sounds of things']",4,4
28,-4hZyOdm7EI,200.0,210.0,"/m/015lz1,/m/015vgc","['/m/015lz1', '/m/015vgc']","['Human Sounds', 'Music']",2,2
29,-4xJv59_zcA,30.0,40.0,"/m/07pl1bw,/m/083vt","['/m/07pl1bw', '/m/083vt']","['Sounds of things', 'Sounds of things']",2,2
30,-5-vmt2iKT0,30.0,40.0,"/m/02zsn,/m/09x0r","['/m/02zsn', '/m/09x0r']","['Human Sounds', 'Human Sounds']",2,2
31,-5DdYkYOjy0,30.0,40.0,/m/06h7j,['/m/06h7j'],['Human Sounds'],1,1
32,-5GhUbDLYkQ,16.0,26.0,"/m/0130jx,/m/02jz0l,/m/0838f","['/m/0130jx', '/m/02jz0l', '/m/0838f']","['Sounds of things', 'Sounds of things', 'Natural Sounds']",3,3
33,-5Jlimvsuwo,90.0,100.0,"/m/011k_j,/m/04rlf","['/m/011k_j', '/m/04rlf']","['Music', 'Music']",2,2
34,-5Kk-m7BmiE,21.0,31.0,"/m/07pyf11,/m/07qmpdm","['/m/07pyf11', '/m/07qmpdm']","['Source-ambiguous sounds', 'Source-ambiguous sounds']",2,2
35,-5S70zOSw30,30.0,40.0,"/m/030rvx,/m/07pzfmf,/m/09x0r","['/m/030rvx', '/m/07pzfmf', '/m/09x0r']","['Sounds of things', 'Natural Sounds', 'Human Sounds']",3,3
36,-5f6hjZf9Yw,30.0,40.0,"/m/02w4v,/m/04rlf","['/m/02w4v', '/m/04rlf']","['Music', 'Music']",2,2
37,-5xOcMJpTUk,70.0,80.0,"/m/018vs,/m/0342h,/m/042v_gx,/m/04rlf,/m/04szw,/m/09x0r,/m/0fx80y","['/m/018vs', '/m/0342h', '/m/042v_gx', '/m/04rlf', '/m/04szw', '/m/09x0r', '/m/0fx80y']","['Music', 'Music', 'Music', 'Music', 'Music', 'Human Sounds', 'Music']",7,7
38,-60XojQWWoc,30.0,40.0,"/m/02rhddq,/m/07r04,/m/07yv9","['/m/02rhddq', '/m/07r04', '/m/07yv9']","['Sounds of things', 'Sounds of things', 'Sounds of things']",3,3
39,-64xnyOswXA,120.0,130.0,/m/0cdnk,['/m/0cdnk'],['Animal'],1,1
40,-693sNKI3iM,30.0,40.0,"/m/015lz1,/m/01swy6,/m/04rlf","['/m/015lz1', '/m/01swy6', '/m/04rlf']","['Human Sounds', 'Human Sounds', 'Music']",3,3
41,-6QGvxvaTkI,280.0,290.0,"/m/01p970,/m/026t6,/m/0l14md","['/m/01p970', '/m/026t6', '/m/0l14md']","['Music', 'Music', 'Music']",3,3
42,-6RN8skIHU4,20.0,30.0,"/m/09x0r,/m/0dv5r,/t/dd00125","['/m/09x0r', '/m/0dv5r', '/t/dd00125']","['Human Sounds', 'Sounds of things', 'Channel environment and background']",3,3
43,-6gC_nlUBfA,60.0,70.0,"/m/02y_763,/m/09x0r","['/m/02y_763', '/m/09x0r']","['Sounds of things', 'Human Sounds']",2,2
44,-6krAYK2LLo,30.0,40.0,"/m/04rlf,/m/06j64v,/m/0l14gg","['/m/04rlf', '/m/06j64v', '/m/0l14gg']","['Music', 'Music', 'Music']",3,3
45,-6pcgdLfb_A,110.0,120.0,"/m/04rlf,/t/dd00035","['/m/04rlf', '/t/dd00035']","['Music', 'Music']",2,2
46,-6x2PtSRfJU,30.0,40.0,"/m/01yrx,/m/068hy,/m/07qrkrw,/m/09x0r","['/m/01yrx', '/m/068hy', '/m/07qrkrw', '/m/09x0r']","['Animal', 'Animal', 'Animal', 'Human Sounds']",4,4
47,-70MzkgSsHQ,30.0,40.0,"/m/04rlf,/m/04rzd","['/m/04rlf', '/m/04rzd']","['Music', 'Music']",2,2
48,-70wVF5u-gg,30.0,40.0,/m/07pn_8q,['/m/07pn_8q'],['Sounds of things'],1,1
49,-75IwDlkzDQ,30.0,40.0,"/m/01h82_,/m/02mk9","['/m/01h82_', '/m/02mk9']","['Sounds of things', 'Sounds of things']",2,2
50,-76P3VHPuus,10.0,20.0,/m/01jg1z,['/m/01jg1z'],['Human Sounds'],1,1
51,-7J4109yM7w,30.0,40.0,"/m/02mk9,/m/07yv9,/t/dd00130","['/m/02mk9', '/m/07yv9', '/t/dd00130']","['Sounds of things', 'Sounds of things', 'Sounds of things']",3,3
52,-7QVE8o9uk4,30.0,40.0,"/m/01yg9g,/m/04rlf,/m/07yv9","['/m/01yg9g', '/m/04rlf', '/m/07yv9']","['Sounds of things', 'Music', 'Sounds of things']",3,3
53,-7wUQP6G5EQ,30.0,40.0,"/m/02cjck,/m/02w4v,/m/04rlf","['/m/02cjck', '/m/02w4v', '/m/04rlf']","['Music', 'Music', 'Music']",3,3
54,-7ye24UFRng,0.0,10.0,"/m/032n05,/m/04rlf","['/m/032n05', '/m/04rlf']","['Animal', 'Music']",2,2
55,-7z662AsuTE,380.0,390.0,/m/0mbct,['/m/0mbct'],['Music'],1,1
56,-82vJ9bcar4,40.0,50.0,/m/0642b4,['/m/0642b4'],['Sounds of things'],1,1
57,-8CrCItCO24,30.0,40.0,/m/07q7njn,['/m/07q7njn'],['Sounds of things'],1,1
58,-8Ezw9946g8,100.0,110.0,/m/0fqfqc,['/m/0fqfqc'],['Sounds of things'],1,1
59,-8H4GKg-mYQ,30.0,40.0,"/m/04rlf,/m/07gxw","['/m/04rlf', '/m/07gxw']","['Music', 'Music']",2,2
60,-8S_tLKfeJg,200.0,210.0,"/m/04fgwm,/m/09x0r,/t/dd00125","['/m/04fgwm', '/m/09x0r', '/t/dd00125']","['Sounds of things', 'Human Sounds', 'Channel environment and background']",3,3
61,-8_HpHg6nCw,30.0,40.0,"/m/07ptzwd,/m/0838f","['/m/07ptzwd', '/m/0838f']","['Sounds of things', 'Natural Sounds']",2,2
62,-8fQePz4FcE,30.0,40.0,"/m/04rlf,/m/07xzm,/t/dd00126","['/m/04rlf', '/m/07xzm', '/t/dd00126']","['Music', 'Music', 'Channel environment and background']",3,3
63,-8n2NqDFRko,30.0,40.0,"/m/02rhddq,/m/07r04,/m/07yv9,/m/09x0r","['/m/02rhddq', '/m/07r04', '/m/07yv9', '/m/09x0r']","['Sounds of things', 'Sounds of things', 'Sounds of things', 'Human Sounds']",4,4
64,-8wQV7VJnmM,30.0,40.0,"/m/04rlf,/m/04wptg,/t/dd00031","['/m/04rlf', '/m/04wptg', '/t/dd00031']","['Music', 'Music', 'Music']",3,3
65,-92cYmTgIjM,190.0,200.0,/m/02fxyj,['/m/02fxyj'],['Human Sounds'],1,1
66,-99daJhXYJY,30.0,40.0,"/m/019jd,/m/02rlv9,/m/03m9d0z,/t/dd00092","['/m/019jd', '/m/02rlv9', '/m/03m9d0z', '/t/dd00092']","['Sounds of things', 'Sounds of things', 'Natural Sounds', 'Natural Sounds']",4,4
67,-9ME9qMgkeY,270.0,280.0,"/m/08j51y,/m/09ct_","['/m/08j51y', '/m/09ct_']","['Sounds of things', 'Sounds of things']",2,2
68,-9Nl3LZBCOo,200.0,210.0,"/m/01s0vc,/m/09x0r","['/m/01s0vc', '/m/09x0r']","['Sounds of things', 'Human Sounds']",2,2
69,-9c1c8G_WO8,24.0,34.0,"/m/07c52,/m/09x0r","['/m/07c52', '/m/09x0r']","['Channel environment and background', 'Human Sounds']",2,2
70,-9ek6eO0RtI,260.0,270.0,/m/03wwcy,['/m/03wwcy'],['Sounds of things'],1,1
71,-9wxcZf43a4,530.0,540.0,/m/0cj0r,['/m/0cj0r'],['Channel environment and background'],1,1
72,-A0MTi2NMGI,30.0,40.0,/t/dd00134,['/t/dd00134'],['Sounds of things'],1,1
73,-AIrHVeCgtM,30.0,40.0,"/m/02rhddq,/m/07r04,/m/07yv9,/m/09x0r","['/m/02rhddq', '/m/07r04', '/m/07yv9', '/m/09x0r']","['Sounds of things', 'Sounds of things', 'Sounds of things', 'Human Sounds']",4,4
74,-ASYwidRD7M,30.0,40.0,/m/01d3sd,['/m/01d3sd'],['Human Sounds'],1,1
75,-AgbNy9f2sg,80.0,90.0,"/m/019jd,/m/06q74","['/m/019jd', '/m/06q74']","['Sounds of things', 'Sounds of things']",2,2
76,-Ar7D-GARhI,30.0,40.0,"/m/07bgp,/m/07q0h5t,/m/09x0r","['/m/07bgp', '/m/07q0h5t', '/m/09x0r']","['Animal', 'Animal', 'Human Sounds']",3,3
77,-AswFDuOptQ,0.0,10.0,"/m/04k94,/m/04rlf,/m/09x0r","['/m/04k94', '/m/04rlf', '/m/09x0r']","['Sounds of things', 'Music', 'Human Sounds']",3,3
78,-B3_mFE3pog,30.0,40.0,/m/07qfgpx,['/m/07qfgpx'],['Source-ambiguous sounds'],1,1
79,-BIMKnb3tlo,410.0,420.0,"/m/01p970,/m/026t6,/m/0l14md","['/m/01p970', '/m/026t6', '/m/0l14md']","['Music', 'Music', 'Music']",3,3
80,-BcwR0CSZ4w,150.0,160.0,"/m/07mzm6,/m/07ppn3j,/m/0ytgt","['/m/07mzm6', '/m/07ppn3j', '/m/0ytgt']","['Human Sounds', 'Human Sounds', 'Human Sounds']",3,3
81,-BqpAyCLh7U,450.0,460.0,"/m/01m2v,/m/04rlf,/m/09x0r","['/m/01m2v', '/m/04rlf', '/m/09x0r']","['Sounds of things', 'Music', 'Human Sounds']",3,3
82,-BwM5Va6XFg,70.0,80.0,"/m/023pjk,/m/04brg2","['/m/023pjk', '/m/04brg2']","['Sounds of things', 'Sounds of things']",2,2
83,-BxQ9nkrId4,30.0,40.0,/m/07qv_x_,['/m/07qv_x_'],['Human Sounds'],1,1
84,-By_0iIghuE,30.0,40.0,"/m/01yrx,/m/068hy,/m/07r81j2,/m/0jbk","['/m/01yrx', '/m/068hy', '/m/07r81j2', '/m/0jbk']","['Animal', 'Animal', 'Animal', 'Animal']",4,4
85,-C5dEU4zpJg,30.0,40.0,"/m/025_jnm,/m/04rlf","['/m/025_jnm', '/m/04rlf']","['Human Sounds', 'Music']",2,2
86,-CHMeZVAe2s,30.0,40.0,/m/01jg1z,['/m/01jg1z'],['Human Sounds'],1,1
87,-CIxoobEubQ,250.0,260.0,"/m/02p01q,/m/07pdjhy,/m/083vt","['/m/02p01q', '/m/07pdjhy', '/m/083vt']","['Sounds of things', 'Source-ambiguous sounds', 'Sounds of things']",3,3
88,-CUp_Tmg2Y0,30.0,40.0,"/m/01qbl,/m/026t6,/m/02hnl,/m/03qtq,/m/03t3fj,/m/0bm02,/m/0l14md","['/m/01qbl', '/m/026t6', '/m/02hnl', '/m/03qtq', '/m/03t3fj', '/m/0bm02', '/m/0l14md']","['Music', 'Music', 'Music', 'Music', 'Music', 'Music', 'Music']",7,7
89,-CgdUiJaNdU,170.0,180.0,"/m/07sq110,/m/09x0r","['/m/07sq110', '/m/09x0r']","['Human Sounds', 'Human Sounds']",2,2
90,-CniGkDLq-Y,30.0,40.0,"/m/04rlf,/t/dd00004","['/m/04rlf', '/t/dd00004']","['Music', 'Human Sounds']",2,2
91,-DBcp6YGi6k,30.0,40.0,/t/dd00018,['/t/dd00018'],['Animal'],1,1
92,-DLL8LaKq-c,19.0,29.0,"/m/07pws3f,/m/09x0r","['/m/07pws3f', '/m/09x0r']","['Source-ambiguous sounds', 'Human Sounds']",2,2
93,-DNkAalo7og,30.0,40.0,"/m/02mk9,/m/07pb8fc,/t/dd00066","['/m/02mk9', '/m/07pb8fc', '/t/dd00066']","['Sounds of things', 'Sounds of things', 'Sounds of things']",3,3
94,-DWRAxaH_RY,300.0,310.0,"/m/04rlf,/m/09x0r,/m/0l156b","['/m/04rlf', '/m/09x0r', '/m/0l156b']","['Music', 'Human Sounds', 'Music']",3,3
95,-DZMYxyB6L8,40.0,50.0,/m/05lls,['/m/05lls'],['Music'],1,1
96,-D_ljLTbCK0,220.0,230.0,"/m/04rlf,/m/09ct_","['/m/04rlf', '/m/09ct_']","['Music', 'Sounds of things']",2,2
97,-DcMk015qSA,290.0,300.0,/m/07qh7jl,['/m/07qh7jl'],['Source-ambiguous sounds'],1,1
98,-DeAdhYKbGE,290.0,300.0,"/m/0192l,/m/085jw","['/m/0192l', '/m/085jw']","['Music', 'Music']",2,2
99,-Dj2PfPmynQ,30.0,40.0,"/m/04rlf,/m/0l14jd,/t/dd00003,/t/dd00004","['/m/04rlf', '/m/0l14jd', '/t/dd00003', '/t/dd00004']","['Music', 'Human Sounds', 'Human Sounds', 'Human Sounds']",4,4
100,-Dl-VzBPd9E,270.0,280.0,/m/028ght,['/m/028ght'],['Human Sounds'],1,1
101,-Dtir74TiUM,40.0,50.0,"/m/01hgjl,/m/0283d,/m/04rlf,/m/07qb_dv","['/m/01hgjl', '/m/0283d', '/m/04rlf', '/m/07qb_dv']","['Music', 'Music', 'Music', 'Source-ambiguous sounds']",4,4
102,-DvxsHG1tuo,410.0,420.0,"/m/04rlf,/m/05zppz,/m/07sr1lc,/m/09x0r","['/m/04rlf', '/m/05zppz', '/m/07sr1lc', '/m/09x0r']","['Music', 'Human Sounds', 'Human Sounds', 'Human Sounds']",4,4
103,-E013cWxoMo,10.0,20.0,/m/02_nn,['/m/02_nn'],['Human Sounds'],1,1
104,-ECK_BisOLM,20.0,30.0,"/m/04rlf,/t/dd00006","['/m/04rlf', '/t/dd00006']","['Music', 'Human Sounds']",2,2
105,-EDGR1davAc,40.0,50.0,/m/0gy1t2s,['/m/0gy1t2s'],['Music'],1,1
106,-EDhb2m8qhk,30.0,40.0,"/m/01z7dr,/m/04rlf","['/m/01z7dr', '/m/04rlf']","['Music', 'Music']",2,2
107,-EFS2mihxs0,240.0,250.0,"/m/02rhddq,/m/07yv9,/t/dd00129","['/m/02rhddq', '/m/07yv9', '/t/dd00129']","['Sounds of things', 'Sounds of things', 'Channel environment and background']",3,3
108,-ETHxO8vrAg,30.0,40.0,"/m/015lz1,/m/04rlf,/t/dd00004","['/m/015lz1', '/m/04rlf', '/t/dd00004']","['Human Sounds', 'Music', 'Human Sounds']",3,3
109,-ETSfElMyNc,220.0,230.0,/m/0chx_,['/m/0chx_'],['Channel environment and background'],1,1
110,-En5nC5Tka4,30.0,40.0,"/m/07qlwh6,/m/09x0r","['/m/07qlwh6', '/m/09x0r']","['Sounds of things', 'Human Sounds']",2,2
111,-F8ZP9sXcKM,5.0,15.0,/t/dd00006,['/t/dd00006'],['Human Sounds'],1,1
112,-FEPOSP7ay0,260.0,270.0,/m/0395lw,['/m/0395lw'],['Music'],1,1
113,-FFx68qSAuY,190.0,200.0,"/m/026t6,/m/02hnl,/m/02k_mr,/m/03t3fj,/m/06rvn,/m/0bm02,/m/0l14md","['/m/026t6', '/m/02hnl', '/m/02k_mr', '/m/03t3fj', '/m/06rvn', '/m/0bm02', '/m/0l14md']","['Music', 'Music', 'Music', 'Music', 'Music', 'Music', 'Music']",7,7
114,-FT5MbWPCzg,540.0,550.0,/m/03w41f,['/m/03w41f'],['Music'],1,1
115,-FYyJ2sAWk4,200.0,210.0,/m/0242l,['/m/0242l'],['Sounds of things'],1,1
116,-Fby-7z_JpE,0.0,8.0,/m/07q5rw0,['/m/07q5rw0'],['Animal'],1,1
117,-FlvaZQOr2I,90.0,100.0,"/m/04rlf,/t/dd00037","['/m/04rlf', '/t/dd00037']","['Music', 'Music']",2,2
118,-Fn3Ze8xVOE,210.0,220.0,"/m/05w3f,/m/0dl5d","['/m/05w3f', '/m/0dl5d']","['Music', 'Music']",2,2
119,-GDC7PuqdOM,30.0,40.0,"/m/02mk9,/m/07pb8fc,/t/dd00066,/t/dd00130","['/m/02mk9', '/m/07pb8fc', '/t/dd00066', '/t/dd00130']","['Sounds of things', 'Sounds of things', 'Sounds of things', 'Sounds of things']",4,4
120,-GI5PbO6j50,30.0,40.0,/m/03qc9zr,['/m/03qc9zr'],['Human Sounds'],1,1
121,-GREE8GdRrc,30.0,40.0,"/m/02z32qm,/t/dd00129","['/m/02z32qm', '/t/dd00129']","['Sounds of things', 'Channel environment and background']",2,2
122,-G_hnfp4a0M,30.0,40.0,"/m/04rlf,/m/07pbtc8","['/m/04rlf', '/m/07pbtc8']","['Music', 'Human Sounds']",2,2
123,-GaHBgRGi4s,10.0,20.0,"/m/04rlf,/m/07rkbfh,/m/09x0r,/t/dd00126","['/m/04rlf', '/m/07rkbfh', '/m/09x0r', '/t/dd00126']","['Music', 'Human Sounds', 'Human Sounds', 'Channel environment and background']",4,4
124,-GbQWmFzVdY,60.0,70.0,"/m/01h3n,/m/03vt0,/m/0h2mp","['/m/01h3n', '/m/03vt0', '/m/0h2mp']","['Animal', 'Animal', 'Animal']",3,3
125,-GiRtQZlnbw,280.0,290.0,"/m/04_sv,/m/07yv9","['/m/04_sv', '/m/07yv9']","['Sounds of things', 'Sounds of things']",2,2
126,-GlZ819IHfE,30.0,40.0,/m/07pn_8q,['/m/07pn_8q'],['Sounds of things'],1,1
127,-H5kC4WsuI8,30.0,40.0,"/m/07qcpgn,/m/09x0r","['/m/07qcpgn', '/m/09x0r']","['Sounds of things', 'Human Sounds']",2,2
128,-H7l8OjHID4,10.0,20.0,"/m/06xkwv,/m/07rcgpl","['/m/06xkwv', '/m/07rcgpl']","['Channel environment and background', 'Source-ambiguous sounds']",2,2
129,-HLoD4GWMtw,4.0,14.0,/m/04rmv,['/m/04rmv'],['Animal'],1,1
130,-HN5kqCKpEA,30.0,40.0,"/m/04rlf,/m/07pws3f,/m/09x0r","['/m/04rlf', '/m/07pws3f', '/m/09x0r']","['Music', 'Source-ambiguous sounds', 'Human Sounds']",3,3
131,-Hav5URxl74,30.0,40.0,/m/04fgwm,['/m/04fgwm'],['Sounds of things'],1,1
132,-HlS6jz-f0I,170.0,180.0,"/m/04rlf,/m/0dq0md","['/m/04rlf', '/m/0dq0md']","['Music', 'Music']",2,2
133,-HnNrGtKXp4,30.0,40.0,"/m/04rlf,/m/0m0jc","['/m/04rlf', '/m/0m0jc']","['Music', 'Music']",2,2
134,-HvtS74RG8w,240.0,250.0,/m/03l9g,['/m/03l9g'],['Sounds of things'],1,1
135,-IWlQN6cfe4,30.0,40.0,/m/07pbtc8,['/m/07pbtc8'],['Human Sounds'],1,1
136,-IZsyroG6yo,420.0,430.0,"/m/07rkbfh,/m/09x0r","['/m/07rkbfh', '/m/09x0r']","['Human Sounds', 'Human Sounds']",2,2
137,-ItCGHv_9Gs,3.0,13.0,"/m/07r4wb8,/m/09x0r","['/m/07r4wb8', '/m/09x0r']","['Sounds of things', 'Human Sounds']",2,2
138,-J0H5ah1G7A,30.0,40.0,"/m/025td0t,/m/04rlf","['/m/025td0t', '/m/04rlf']","['Music', 'Music']",2,2
139,-JBvPwxaVVg,110.0,120.0,"/m/04rlf,/m/07qnq_y,/m/09x0r","['/m/04rlf', '/m/07qnq_y', '/m/09x0r']","['Music', 'Sounds of things', 'Human Sounds']",3,3
140,-JKLmqDk9p8,490.0,500.0,"/m/06mb1,/m/07r10fb,/m/0jb2l,/m/0ngt1,/t/dd00038","['/m/06mb1', '/m/07r10fb', '/m/0jb2l', '/m/0ngt1', '/t/dd00038']","['Natural Sounds', 'Natural Sounds', 'Natural Sounds', 'Natural Sounds', 'Natural Sounds']",5,5
141,-JOKwS64mRU,150.0,160.0,"/m/019jd,/m/03m9d0z,/m/06q74,/t/dd00092","['/m/019jd', '/m/03m9d0z', '/m/06q74', '/t/dd00092']","['Sounds of things', 'Natural Sounds', 'Sounds of things', 'Natural Sounds']",4,4
142,-JVWfFPBl84,330.0,340.0,/m/0l14t7,['/m/0l14t7'],['Music'],1,1
143,-Jam3cjbeFQ,30.0,40.0,"/m/07pws3f,/m/09x0r","['/m/07pws3f', '/m/09x0r']","['Source-ambiguous sounds', 'Human Sounds']",2,2
144,-JbPonixXS4,0.0,10.0,"/m/01j4z9,/m/0_ksk","['/m/01j4z9', '/m/0_ksk']","['Sounds of things', 'Sounds of things']",2,2
145,-JfpacjZWyw,30.0,40.0,/m/01c194,['/m/01c194'],['Human Sounds'],1,1
146,-Jie0k7xUIk,10.0,20.0,"/m/012xff,/m/07r5v4s","['/m/012xff', '/m/07r5v4s']","['Sounds of things', 'Sounds of things']",2,2
147,-JuVh6islEI,30.0,40.0,"/m/06bz3,/m/09x0r","['/m/06bz3', '/m/09x0r']","['Channel environment and background', 'Human Sounds']",2,2
148,-K-k1pxeRtQ,30.0,40.0,"/m/03qtwd,/m/04gy_2","['/m/03qtwd', '/m/04gy_2']","['Human Sounds', 'Human Sounds']",2,2
149,-K4R9SXZZsk,10.0,20.0,"/m/012f08,/m/07yv9,/m/096m7z,/m/0k4j","['/m/012f08', '/m/07yv9', '/m/096m7z', '/m/0k4j']","['Sounds of things', 'Sounds of things', 'Channel environment and background', 'Sounds of things']",4,4
150,-KaRoM5LnHc,30.0,40.0,"/m/07pyf11,/m/09x0r","['/m/07pyf11', '/m/09x0r']","['Source-ambiguous sounds', 'Human Sounds']",2,2
151,-KengzYsTkk,60.0,70.0,/m/06hck5,['/m/06hck5'],['Sounds of things'],1,1
152,-KiAK66YwW8,150.0,160.0,"/m/07r4k75,/m/09x0r","['/m/07r4k75', '/m/09x0r']","['Human Sounds', 'Human Sounds']",2,2
153,-L44JqysUy8,190.0,200.0,"/m/07qc9xj,/m/09x0r,/t/dd00125","['/m/07qc9xj', '/m/09x0r', '/t/dd00125']","['Source-ambiguous sounds', 'Human Sounds', 'Channel environment and background']",3,3
154,-L68XDzhn2g,80.0,90.0,"/m/02x984l,/m/09x0r","['/m/02x984l', '/m/09x0r']","['Sounds of things', 'Human Sounds']",2,2
155,-LB1RoVe8Xc,270.0,280.0,"/m/04rlf,/m/07rrh0c","['/m/04rlf', '/m/07rrh0c']","['Music', 'Sounds of things']",2,2
156,-LBl0UeKNyU,430.0,440.0,"/m/07p6mqd,/m/09x0r,/t/dd00125,/t/dd00128","['/m/07p6mqd', '/m/09x0r', '/t/dd00125', '/t/dd00128']","['Sounds of things', 'Human Sounds', 'Channel environment and background', 'Channel environment and background']",4,4
157,-M-6VinyMiY,30.0,40.0,"/m/04rlf,/t/dd00033","['/m/04rlf', '/t/dd00033']","['Music', 'Music']",2,2
158,-MZx1np1Ddc,30.0,40.0,"/m/01jnbd,/m/09x0r","['/m/01jnbd', '/m/09x0r']","['Channel environment and background', 'Human Sounds']",2,2
159,-M_5w6KKfgQ,0.0,10.0,"/m/04rlf,/m/07r4wb8,/m/09x0r","['/m/04rlf', '/m/07r4wb8', '/m/09x0r']","['Music', 'Sounds of things', 'Human Sounds']",3,3
160,-MfaG0whPJc,130.0,140.0,"/m/07qv4k0,/t/dd00129","['/m/07qv4k0', '/t/dd00129']","['Source-ambiguous sounds', 'Channel environment and background']",2,2
161,-MtYGIr-o08,50.0,60.0,"/m/03qtwd,/m/04gy_2","['/m/03qtwd', '/m/04gy_2']","['Human Sounds', 'Human Sounds']",2,2
162,-Mu1AWT_x54,320.0,330.0,"/m/03v3yw,/m/09x0r","['/m/03v3yw', '/m/09x0r']","['Sounds of things', 'Human Sounds']",2,2
