YTID,start_seconds,end_seconds,positive_labels
1LtwP9mSSJU,80.0,90.0,"/m/07rgt08,/m/0939n_"
1N_t-hPKYHM,30.0,40.0,"/m/04rlf,/m/07bjf,/m/09x0r"
1Oy7Yha8LOg,30.0,40.0,"/m/01yrx,/m/068hy,/m/07qrkrw,/m/07r81j2,/m/0jbk"
1QrqkC1mt94,0.0,10.0,"/m/01j3sz,/m/02zsn,/m/04rlf,/m/07rgt08,/m/09x0r"
1T6RmWWux7g,30.0,40.0,"/m/04rlf,/m/07pws3f,/m/09x0r"
1TOi-OoaT8I,90.0,100.0,"/m/0130jx,/m/02jz0l,/m/04k94,/m/0838f,/m/09x0r"
1UavDC8gpEg,30.0,40.0,"/m/04rlf,/t/dd00005"
1UszJJe0GmY,30.0,40.0,"/m/01jg02,/m/01jg1z,/m/04rlf"
1WwhvBedzOg,220.0,230.0,"/m/07p6mqd,/m/09x0r,/t/dd00129"
1XAFadL2YW4,30.0,40.0,/m/07r10fb
1_DouJRW3PM,30.0,40.0,"/m/028ght,/m/09x0r,/m/0l15bq"
1_Gp67gXOK0,30.0,40.0,"/m/04rlf,/t/dd00005"
1_iz3BvTJug,30.0,40.0,"/m/04rlf,/m/07s8j8t,/m/07sbbz2,/m/09x0r"
1a6ziKisD4Q,30.0,40.0,"/m/05rj2,/m/09x0r"
1aNc3AkgJNU,15.0,25.0,"/m/04rlf,/m/07pkxdp"
1aVhpF7Sm8o,0.0,10.0,/m/06hps
1iNjldnNSPY,30.0,40.0,"/m/02p0sh1,/m/04rlf"
1jc3YPwYfC4,220.0,230.0,"/m/01b_21,/m/09x0r"
1kfvRJEsf9g,30.0,40.0,/m/07pbtc8
1lBAPeMA7-o,30.0,40.0,/t/dd00004
1lSn0xFQLmQ,140.0,150.0,"/m/0283d,/m/02lkt,/m/04rlf,/m/08cyft,/m/0ggx5q"
1nTNW_uwS7I,310.0,320.0,"/m/023pjk,/m/04brg2"
1oe-NKUOwZw,30.0,40.0,"/m/068hy,/m/0jbk,/t/dd00136"
1p6h5X_LN_A,160.0,170.0,"/m/01j3sz,/m/09x0r,/t/dd00001,/t/dd00125"
1prbCxM95Ow,30.0,40.0,"/m/04rlf,/m/0dq0md"
1qQM4y2o8bo,460.0,470.0,"/m/012f08,/m/07yv9,/m/09x0r,/m/0btp2,/m/0k4j"
1wAF_X9_7h0,10.0,20.0,"/m/02lkt,/m/04rlf,/m/0fd3y"
20PVszdZws8,30.0,40.0,"/m/04rlf,/m/06j6l,/m/0l14gg"
20UvhTgS-x8,0.0,10.0,/m/027m70_
20lc3fwbLks,220.0,230.0,"/m/0326g,/m/04rlf"
24OPDiqr6VA,0.0,10.0,"/m/07yv9,/m/0brhx,/m/0k4j"
256NgMW4tQw,240.0,250.0,"/m/011k_j,/m/04rlf"
26r32VaJAP8,520.0,530.0,"/m/04rlf,/m/07qqyl4,/m/09x0r"
2BdcZFwYkr4,530.0,540.0,"/m/025rv6n,/m/07qn5dc,/m/09b5t"
2Be4jTJVsZ4,30.0,40.0,"/m/07c52,/m/09x0r"
2ClQcAd-wJg,30.0,40.0,"/m/030rvx,/m/09x0r"
2E0OsrYbzAI,10.0,20.0,"/m/09x0r,/m/0g6b5"
2FEhG1UXb_E,370.0,380.0,/m/07qfgpx
2HcMDJ_YC1Q,40.0,50.0,"/m/04rlf,/m/06bxc"
2HqRt6o2yis,220.0,230.0,"/m/04rlf,/m/09x0r,/m/0cj0r,/t/dd00125"
2IbnMcrepUs,30.0,40.0,"/m/04rlf,/t/dd00006"
2JEeD3O0NnM,30.0,40.0,"/m/04rlf,/m/068hy,/m/07r_k2n,/m/07rc7d9,/m/0bt9lr,/m/0jbk"
2K8O1KQQw54,30.0,40.0,"/m/03vt0,/m/09xqv"
2LSIfeHDMkc,30.0,40.0,"/m/01jg02,/m/01jg1z"
2NicfBB6lNw,320.0,330.0,"/m/01bjv,/m/09x0r"
2O22edWULCE,20.0,30.0,"/m/07pqn27,/m/09x0r"
2QrtZ4bJ4h4,20.0,30.0,/m/01w250
2RMAeRbMa38,0.0,10.0,"/m/04rlf,/m/06_fw,/m/09x0r"
2TlwLo3hGD0,100.0,110.0,"/m/04rlf,/m/07q7njn"
2YZ4psKel4k,30.0,40.0,"/m/04rlf,/m/09t49,/t/dd00092"
2_SO0Eaqzqs,40.0,50.0,"/m/01hnzm,/m/04rlf,/m/07cx4,/m/09x0r"
2cCS78YFMEc,30.0,40.0,"/m/01z7dr,/m/02cjck,/m/04rlf"
2dra9UWfO2g,400.0,410.0,/m/04wptg
2f3KmkB2gac,0.0,7.0,"/m/02dgv,/m/02y_763,/m/07r4wb8,/m/09x0r"
2kRcBAZeE4Q,80.0,90.0,"/m/09x0r,/m/0dv3j"
2mAbc1JnXXY,10.0,20.0,"/m/0463cq4,/m/09x0r"
2mXZfaHadmU,30.0,40.0,"/m/07pbtc8,/m/09x0r"
2nsUnuIkzDE,170.0,180.0,/m/0cj0r
2odez95jtno,0.0,10.0,"/m/01kcd,/m/07c6l,/m/07gql"
2rM5bInx6wY,60.0,70.0,"/m/04rlf,/m/07sr1lc,/t/dd00126"
2rPv0UjHwR4,100.0,110.0,"/m/0c1dj,/m/0chx_"
2rcRqeXnsNw,18.0,28.0,/t/dd00134
2sqHdyT_FUQ,10.0,20.0,"/m/08p9q4,/m/09x0r"
2tfiDS7q4gE,490.0,500.0,"/m/023pjk,/m/04brg2"
2tgqrxUIozQ,0.0,10.0,"/m/02c8p,/m/09x0r"
2zVLWnsArHw,30.0,40.0,"/m/04rlf,/m/064t9,/t/dd00035"
3-idzbeLeDo,80.0,90.0,"/m/01kcd,/m/06ncr"
31DsiHPUUAs,30.0,40.0,"/m/04rlf,/m/07qlwh6"
32whjVkHuZc,10.0,20.0,"/m/04rlf,/t/dd00006"
33x56n8PJZA,580.0,590.0,"/m/04rlf,/m/09x0r,/m/0jtg0"
35MzLrAON3M,40.0,50.0,/m/07c52
36QdecdxUcQ,20.0,30.0,"/m/04rlf,/m/08p9q4"
36l2MBrBM6g,60.0,70.0,/m/024dl
373NkzPCyp4,30.0,40.0,"/m/04rlf,/m/07pws3f,/m/09x0r"
38PxHgf90Nk,30.0,40.0,"/m/07qjznl,/m/09x0r"
39LbhDdM7g4,130.0,140.0,"/m/04rlf,/m/07pt_g0"
39hxp7woiw8,80.0,90.0,/m/0dwt5
3Bys4rxP88Q,30.0,40.0,"/m/04rlf,/m/07bjf,/m/09x0r"
3EHD41PVih4,240.0,250.0,"/m/0130jx,/m/02jz0l,/m/0838f"
3F5POA5nsAs,18.0,28.0,"/m/09x0r,/t/dd00002"
3FiHokuqbDQ,20.0,30.0,"/m/03cczk,/m/04rlf,/m/09x0r,/t/dd00125"
3FjZlRziyaw,60.0,70.0,/m/07mzm6
3GMqiUz2tug,130.0,140.0,"/m/06xkwv,/m/07rcgpl"
3IWqNRbdksc,2.0,12.0,/m/07qlwh6
3JXlEMohh0o,90.0,100.0,"/m/04rlf,/m/081rb,/m/09x0r,/t/dd00125"
3KWSsnZSrq8,210.0,220.0,/m/07qfr4h
3K_80T1CtFY,3.0,13.0,"/m/04rlf,/m/07c52"
3L8t2sPTymY,30.0,40.0,"/m/04rlf,/t/dd00003"
3LbXgE3ODCI,330.0,340.0,"/m/081rb,/m/09x0r"
3Nzt343kCl4,30.0,40.0,"/m/03v3yw,/m/07yv9,/m/09x0r,/m/0k4j"
3O7W7MH5HhY,150.0,160.0,"/m/01j3sz,/t/dd00001"
3Ob1Gq-4x-c,30.0,40.0,/m/07qwyj0
3PiZDrsFX2I,29.0,39.0,/m/07pdhp0
3QLiGPoZxFc,90.0,100.0,"/m/01bns_,/m/07y_7,/m/0d8_n,/m/0l14_3"
3QNFY4MKTy4,70.0,80.0,"/m/04rlf,/t/dd00034"
3RjOxLiBPzc,550.0,560.0,/m/0l14t7
3SVEEHKBpxQ,410.0,420.0,/m/032n05
3SWi2UgEwY8,30.0,40.0,/m/03wvsk
3SofTMsRnJg,30.0,40.0,/m/04fq5q
3TLHRMfcRgM,30.0,40.0,"/m/04rlf,/m/0b9m1"
3V4-O2oVF-M,270.0,280.0,/m/0242l
3WBvhwIEAEI,290.0,300.0,"/m/03r5q_,/m/04rlf,/m/05fw6t"
3YJDtqVya3g,150.0,160.0,"/m/07sq110,/m/09x0r,/m/0ytgt,/t/dd00125"
3YpDove6j8Q,30.0,40.0,"/m/025rv6n,/m/07qn5dc,/m/07st89h,/m/09b5t"
3Z0Gl7RHThc,280.0,290.0,"/m/04rlf,/m/04zjc,/m/07rn7sz,/m/09x0r"
3Z67jXHxHow,30.0,40.0,"/m/07qz6j3,/m/09x0r"
3ZDpqDpIsfs,60.0,70.0,"/m/04rlf,/m/0fd3y"
3_58wEMlFyk,70.0,80.0,"/m/09x0r,/t/dd00121,/t/dd00125"
3ay040omsR0,0.0,10.0,/m/07qb_dv
3bo6XsV_v1w,30.0,40.0,"/m/02p0sh1,/m/04rlf"
3cjvSCrR51E,30.0,40.0,"/m/0155w,/m/025td0t,/m/04rlf,/m/06j6l,/m/0ggx5q,/t/dd00031,/t/dd00035"
3dZjXaBn9mE,30.0,40.0,"/m/04rlf,/m/07qsvvw"
3e3yLYGvuFM,80.0,90.0,/m/08p9q4
3fJReglqBQg,30.0,40.0,"/m/07qcpgn,/m/09x0r"
3gdwvnKibpg,210.0,220.0,"/m/015lz1,/m/04rlf,/m/0dq0md"
3hBvEDX7Q8k,30.0,40.0,"/m/01lsmm,/m/09x0r"
3mqmN6mw4R8,30.0,40.0,"/m/01z7dr,/m/04rlf"
3pdtjFxxBs0,12.0,22.0,"/m/07yv9,/m/0gvgw0,/m/0k4j"
3seM8rfYTd4,0.0,7.0,/m/07ryjzk
3udWS-cMb-8,80.0,90.0,"/m/032s66,/m/04zjc"
3zNWKAUZ088,80.0,90.0,"/m/04rlf,/m/07p78v5"
4-7xip9t_5M,70.0,80.0,"/m/025rv6n,/m/07qwf61,/m/0dbvp"
415bCQEk5Fs,40.0,50.0,"/m/04rlf,/t/dd00033"
472uoq6erhc,270.0,280.0,"/m/019jd,/m/034srq,/m/03m9d0z,/m/05kq4,/m/06q74,/t/dd00092"
48KiYZoPbYA,0.0,6.0,"/m/07st88b,/m/09ld4"
49_lI0HpaDE,0.0,10.0,/m/07r4wb8
49yFPuy2z4c,0.0,10.0,"/m/04rlf,/m/068zj,/m/09x0r"
4AMRaNsmJe0,30.0,40.0,"/m/01s0vc,/m/04rlf,/m/09x0r"
4AYO2zAWRx0,30.0,40.0,"/m/04rlf,/m/07pkxdp"
4C1WjCNy3i8,520.0,530.0,"/m/04rlf,/m/068zj"
4CcmjU0JQzE,300.0,310.0,"/m/015lz1,/m/016cjb,/m/04rlf"
4D7eQhCgnLs,230.0,240.0,/m/03r5q_
4DnXddkTjDA,30.0,40.0,"/m/04rlf,/m/07kc_"
4EKWTiWjPTQ,50.0,60.0,/m/018w8
4Etd7wb4dHE,30.0,40.0,"/m/07r_k2n,/m/09x0r,/t/dd00136"
4FsF0s8FFlQ,0.0,10.0,"/m/0130jx,/m/02jz0l,/m/0838f"
4HeUmlSg-jY,300.0,310.0,"/m/07q2z82,/m/07yv9,/m/0k4j,/t/dd00066"
4JhOuyIHLv8,10.0,20.0,/m/01z47d
4JnA6k9QldM,30.0,40.0,/m/01c194
4KCctdcmzuM,10.0,20.0,"/m/07pyy8b,/m/09x0r"
4M4pxcObqZ4,30.0,40.0,"/m/04rlf,/t/dd00032,/t/dd00034"
4OHZaHeTjGg,20.0,30.0,/m/01z5f
4Sjh8pUwqTM,350.0,360.0,"/m/02v2lh,/m/04rlf,/m/09x0r"
4Td19yDBul4,150.0,160.0,"/m/04rlf,/m/06w87"
4U3ZOHw_iGY,12.0,22.0,"/m/07bgp,/m/07q0h5t,/m/09x0r"
4WO7FtHjWr0,360.0,370.0,/g/122z_qxw
4XMY2IvVSf0,30.0,40.0,"/m/02rhddq,/m/07yv9,/m/09x0r"
4cVXp3KuIxY,180.0,190.0,"/m/04rlf,/m/07xzm,/m/09x0r"
4dA9UG39z48,140.0,150.0,"/m/016cjb,/m/02mscn,/m/04rlf"
4dsUL0OctLM,290.0,300.0,"/m/04rlf,/m/068zj"
4fSPYKspDio,70.0,80.0,"/m/04rlf,/m/07s12q4,/m/09x0r"
4fogaTy4jkc,470.0,480.0,"/m/01lsmm,/m/09x0r,/t/dd00125"
4fspY_h-ch4,200.0,210.0,/m/01g90h
4gfbYkc_LQU,30.0,40.0,"/m/04rlf,/m/07qdb04"
4hgmKqj4Fn8,8.0,18.0,"/m/04rlf,/m/07rv9rh,/m/09x0r"
4i6_r-MNW_E,150.0,160.0,/m/07plct2
4id83rlysIU,20.0,30.0,"/m/03dnzn,/m/0838f"
4j1k3BH8YEU,160.0,170.0,"/m/07rkbfh,/m/09x0r,/t/dd00126"
4jKTKGvJ2sM,70.0,80.0,"/m/01z7dr,/m/025td0t,/m/04rlf"
4ldia364J8I,240.0,250.0,"/m/04rlf,/t/dd00033"
4mGTN6Xrf7w,30.0,40.0,"/m/026z9,/m/02lkt,/m/04rlf,/m/07gxw"
4pp3hLU4S-o,220.0,230.0,"/m/07pdhp0,/m/09x0r,/t/dd00125"
4stMCLHHZgk,30.0,40.0,/m/07pn_8q
4uGREQKFsK0,90.0,100.0,"/m/04rlf,/m/05rwpb"
4v3HbhtO_Hg,2.0,12.0,/m/07swgks
4wIYOqMLnC0,7.0,17.0,/m/01hnzm
52FkRD1jr30,30.0,40.0,/m/027m70_
52rTtmIVMbI,410.0,420.0,/m/02fxyj
53Bx2EKZb-s,0.0,10.0,"/m/0261r1,/m/09x0r,/t/dd00125"
54BU0g5odHY,150.0,160.0,"/m/05rj2,/m/09x0r"
56ADhS7Z2Ck,330.0,340.0,"/m/0164x2,/m/04rlf,/m/0xzly"
56acNy-INSM,40.0,50.0,"/m/015jpf,/m/04rlf,/m/07cx4,/m/09x0r"
56s0_kfgThc,110.0,120.0,"/m/04rlf,/m/05w3f"
58jMS3K5iMo,130.0,140.0,"/m/01b_21,/m/04rlf,/m/09x0r"
59-MKRF5N0k,30.0,40.0,"/m/04rlf,/m/0l14gg,/t/dd00033"
5AHG1q3aSpU,30.0,40.0,"/m/01z5f,/m/068hy,/m/0bt9lr,/m/0jbk,/t/dd00136"
5BfPG5qzEpA,10.0,20.0,/m/0326g
5BlazElwPkA,30.0,40.0,/m/026z9
5CYyFjd74hw,480.0,490.0,/m/07pdhp0
5DSgGISsW1M,20.0,30.0,"/m/026fgl,/m/0f8s22"
5FiUKC97TSo,30.0,40.0,/m/02mfyn
5Fyt6Ucb2bU,210.0,220.0,"/m/07pyy8b,/m/09x0r"
5H-RadrUSA4,20.0,30.0,/m/07rn7sz
5NX8h6debUc,5.0,15.0,"/m/03qtwd,/m/053hz1,/t/dd00135"
5Nmimj-Gycc,30.0,40.0,"/m/01yrx,/m/04rlf,/m/068hy,/m/07r81j2,/m/0jbk"
5QH1nhYHfXU,90.0,100.0,"/g/122z_qxw,/m/09x0r,/m/0g6b5"
5QwctLs0L-Y,16.0,26.0,/m/07q5rw0
5THFubiitKQ,30.0,40.0,/m/07pczhz
5TIprIHHNjk,120.0,130.0,"/m/04rlf,/m/05r5wn"
5Tiw2S7rQAU,10.0,20.0,"/m/01jt3m,/m/0838f"
5XLwliMNC4s,30.0,40.0,"/m/04rlf,/t/dd00033"
5ZsoqwjG_Fs,260.0,270.0,"/m/01s0ps,/m/05148p4,/m/05r5c"
5aKNZE_kjn8,70.0,80.0,"/m/02g901,/m/04rlf,/m/09x0r,/t/dd00125"
5cBeYhrxddY,210.0,220.0,/m/07plz5l
5cnpOY4FzHQ,30.0,40.0,"/m/04rlf,/m/07q6cd_"
5ddUl7G1YAA,400.0,410.0,"/m/07p_0gm,/m/07rcgpl"
5fW4dARvV-o,160.0,170.0,"/m/0192l,/m/085jw"
5g-ixS2Dz5g,20.0,30.0,"/m/03cl9h,/m/04rlf"
5g3OMeGl_QM,100.0,110.0,"/m/02cjck,/m/04rlf,/m/0dls3"
5gxpOFJCFyg,50.0,60.0,/m/07plct2
5hJ_YojItMs,4.0,14.0,/m/030rvx
5iUwBOf4yek,60.0,70.0,"/m/02lkt,/m/04rlf,/m/07lnk"
5lN_vNS5z8Y,250.0,260.0,/m/03w41f
5l_vgW2PWWg,150.0,160.0,"/m/0145m,/m/0164x2,/m/04rlf,/m/0m0jc"
5oT1h3zUVhY,170.0,180.0,"/m/04rlf,/m/06bxc"
5pfSzQGFX8o,0.0,10.0,"/m/07phxs1,/m/07qfgpx"
5quD8nDBLnU,60.0,70.0,"/m/012ndj,/m/03j1ly,/m/03kmc9"
5rziy-sL0to,60.0,70.0,"/m/09x0r,/m/0k65p,/m/0ytgt"
5twcDUGlh7w,180.0,190.0,"/m/05rj2,/m/09x0r,/t/dd00125"
5vI46kYJYlw,30.0,40.0,"/m/04rlf,/m/07qmpdm"
5vM1ZpdksVQ,30.0,40.0,/m/0cj0r
5vNdtsteNXA,330.0,340.0,"/m/07pxg6y,/m/09x0r"
5vWjl9S5EPo,30.0,40.0,/m/0j2kx
5v_ZNkqoiM8,27.0,37.0,"/m/07bjf,/m/09x0r"
5xrNiczwEQw,320.0,330.0,"/m/03dnzn,/m/0838f"
60GhejkQZho,20.0,30.0,"/m/09x0r,/m/0btp2,/t/dd00128"
61awfpVe49k,460.0,470.0,/m/01m2v
64BW6psooXg,60.0,70.0,/t/dd00088
65l9DPdEDuk,30.0,40.0,"/m/015p6,/m/020bb7,/m/07r_25d,/m/0h0rv"
670q0V31dE4,580.0,590.0,"/m/02rtxlg,/m/07s12q4,/m/09x0r"
68PbCtrPVeY,180.0,190.0,"/m/04rlf,/m/0dq0md"
68UOoqmXqyg,240.0,250.0,/m/07qdb04
68hHsTC4lfI,240.0,250.0,"/m/07s0dtb,/m/09x0r,/t/dd00129"
69ys5sgaWog,370.0,380.0,/m/028ght
6AZys4l4gbk,30.0,40.0,/m/07pzfmf
6F-wVYHAi8I,250.0,260.0,"/m/04rlf,/m/0xzly"
6HOa8aew414,30.0,40.0,"/m/04rlf,/m/07qcpgn"
6JBXWuZLHOo,30.0,40.0,"/m/0155w,/m/04rlf"
6Ku8JEeSoE0,30.0,40.0,/m/05_wcq
6LDY1nbsZ2U,220.0,230.0,/m/0fd3y
6ONO044yfWY,30.0,40.0,"/m/02x8m,/m/04rlf,/m/09x0r"
6PTnOjAM-RU,420.0,430.0,"/m/01qbl,/m/026t6,/m/02hnl,/m/02k_mr,/m/03qtq,/m/03t3fj,/m/06rvn,/m/0bm02,/m/0l14md"
6RSFq-IRYqY,0.0,10.0,"/g/122z_qxw,/t/dd00125"
6U7ZxVxc-a0,30.0,40.0,"/m/013y1f,/m/03gvt"
6UqZPBM-7_s,30.0,40.0,"/m/01jnbd,/m/04rlf,/m/07qw_06"
6YBF13Lps1k,130.0,140.0,"/m/04rlf,/m/09x0r,/m/0ytgt,/t/dd00005"
6aBqeQYPGGM,120.0,130.0,/m/025_jnm
