index,mid,display_name,class_3,class_2,class_1
83,/m/07qrkrw,Meow,Cat,Domestic animals pets,Animal
84,/m/07rjwbb,Hiss,Cat,Domestic animals pets,Animal
85,/m/07r81j2,Caterwaul,Cat,Domestic animals pets,Animal
86,/m/0ch8v,Livestock farm animals working animals,Livestock farm animals working animals,Livestock farm animals working animals,Animal
87,/m/03k3r,Horse,Horse,Livestock farm animals working animals,Animal
88,/m/07rv9rh,Clip-clop,Horse,Livestock farm animals working animals,Animal
89,/m/07q5rw0,Neigh whinny,Horse,Livestock farm animals working animals,Animal
90,/m/01xq0k1,Cattle bovinae,Cattle bovinae,Livestock farm animals working animals,Animal
91,/m/07rpkh9,Moo,Cattle bovinae,Livestock farm animals working animals,Animal
92,/m/0239kh,Cowbell,Cattle bovinae,Livestock farm animals working animals,Animal
93,/m/068zj,Pig,Pig,Livestock farm animals working animals,Animal
94,/t/dd00018,Oink,Pig,Livestock farm animals working animals,Animal
95,/m/03fwl,Goat,Goat,Livestock farm animals working animals,Animal
96,/m/07q0h5t,Bleat,Goat,Livestock farm animals working animals,Animal
97,/m/07bgp,Sheep,Sheep,Livestock farm animals working animals,Animal
98,/m/025rv6n,Fowl,Fowl,Livestock farm animals working animals,Animal
99,/m/09b5t,Chicken rooster,Chicken rooster,Livestock farm animals working animals,Animal
100,/m/07st89h,Cluck,Chicken rooster,Livestock farm animals working animals,Animal
101,/m/07qn5dc,Crowing cock-a-doodle-doo,Chicken rooster,Livestock farm animals working animals,Animal
102,/m/01rd7k,Turkey,Turkey,Livestock farm animals working animals,Animal
103,/m/07svc2k,Gobble,Turkey,Livestock farm animals working animals,Animal
104,/m/09ddx,Duck,Duck,Livestock farm animals working animals,Animal
105,/m/07qdb04,Quack,Duck,Livestock farm animals working animals,Animal
106,/m/0dbvp,Goose,Goose,Livestock farm animals working animals,Animal
107,/m/07qwf61,Honk,Goose,Livestock farm animals working animals,Animal
108,/m/01280g,Wild animals,Wild animals,Wild animals,Animal
109,/m/0cdnk,Roaring cats (lions tigers),Roaring cats (lions tigers),Wild animals,Animal
110,/m/04cvmfc,Roar,Roaring cats (lions tigers),Wild animals,Animal
111,/m/015p6,Bird,Bird,Wild animals,Animal
112,/m/020bb7,Bird vocalization bird call bird song,Bird vocalization bird call bird song,Wild animals,Animal
113,/m/07pggtn,Chirp tweet,Bird vocalization bird call bird song,Wild animals,Animal
114,/m/07sx8x_,Squawk,Bird vocalization bird call bird song,Wild animals,Animal
115,/m/0h0rv,Pigeon dove,Pigeon dove,Wild animals,Animal
116,/m/07r_25d,Coo,Pigeon dove,Wild animals,Animal
117,/m/04s8yn,Crow,Crow,Wild animals,Animal
118,/m/07r5c2p,Caw,Crow,Wild animals,Animal
119,/m/09d5_,Owl,Owl,Wild animals,Animal
120,/m/07r_80w,Hoot,Owl,Wild animals,Animal
121,/m/05_wcq,Bird flight flapping wings,Bird flight flapping wings,Wild animals,Animal
122,/m/01z5f,Canidae dogs wolves,Canidae dogs wolves,Wild animals,Animal
123,/m/06hps,Rodents rats mice,Rodents rats mice,Wild animals,Animal
124,/m/04rmv,Mouse,Mouse,Wild animals,Animal
125,/m/07r4gkf,Patter,Rodents rats mice,Wild animals,Animal
126,/m/03vt0,Insect,Insect,Wild animals,Animal
127,/m/09xqv,Cricket,Insect,Wild animals,Animal
128,/m/09f96,Mosquito,Insect,Wild animals,Animal
129,/m/0h2mp,Fly housefly,Insect,Wild animals,Animal
130,/m/07pjwq1,Buzz,Insect,Wild animals,Animal
131,/m/01h3n,Bee wasp etc.,Insect,Wild animals,Animal
132,/m/09ld4,Frog,Frog,Wild animals,Animal
133,/m/07st88b,Croak,Frog,Wild animals,Animal
134,/m/078jl,Snake,Snake,Wild animals,Animal
135,/m/07qn4z3,Rattle,Snake,Wild animals,Animal
136,/m/032n05,Whale vocalization,Whale vocalization,Wild animals,Animal
137,/m/04rlf,Music,TBD,Musical instrument,Music
138,/m/04szw,Musical instrument,TBD,Musical instrument,Music
139,/m/0fx80y,Plucked string instrument,TBD,Musical instrument,Music
140,/m/0342h,Guitar,TBD,Musical instrument,Music
141,/m/02sgy,Electric guitar,TBD,Musical instrument,Music
142,/m/018vs,Bass guitar,TBD,Musical instrument,Music
143,/m/042v_gx,Acoustic guitar,TBD,Musical instrument,Music
144,/m/06w87,Steel guitar slide guitar,TBD,Musical instrument,Music
145,/m/01glhc,Tapping (guitar technique),TBD,Musical instrument,Music
146,/m/07s0s5r,Strum,TBD,Musical instrument,Music
147,/m/018j2,Banjo,TBD,Musical instrument,Music
148,/m/0jtg0,Sitar,TBD,Musical instrument,Music
149,/m/04rzd,Mandolin,TBD,Musical instrument,Music
150,/m/01bns_,Zither,TBD,Musical instrument,Music
151,/m/07xzm,Ukulele,TBD,Musical instrument,Music
152,/m/05148p4,Keyboard (musical),TBD,Musical instrument,Music
153,/m/05r5c,Piano,TBD,Musical instrument,Music
154,/m/01s0ps,Electric piano,TBD,Musical instrument,Music
155,/m/013y1f,Organ,TBD,Musical instrument,Music
156,/m/03xq_f,Electronic organ,TBD,Musical instrument,Music
157,/m/03gvt,Hammond organ,TBD,Musical instrument,Music
158,/m/0l14qv,Synthesizer,TBD,Musical instrument,Music
159,/m/01v1d8,Sampler,TBD,Musical instrument,Music
160,/m/03q5t,Harpsichord,TBD,Musical instrument,Music
161,/m/0l14md,Percussion,TBD,Musical instrument,Music
162,/m/02hnl,Drum kit,TBD,Musical instrument,Music
163,/m/0cfdd,Drum machine,TBD,Musical instrument,Music
164,/m/026t6,Drum,TBD,Musical instrument,Music
165,/m/06rvn,Snare drum,TBD,Musical instrument,Music
166,/m/03t3fj,Rimshot,TBD,Musical instrument,Music
167,/m/02k_mr,Drum roll,TBD,Musical instrument,Music
168,/m/0bm02,Bass drum,TBD,Musical instrument,Music
169,/m/011k_j,Timpani,TBD,Musical instrument,Music
170,/m/01p970,Tabla,TBD,Musical instrument,Music
171,/m/01qbl,Cymbal,TBD,Musical instrument,Music
172,/m/03qtq,Hi-hat,TBD,Musical instrument,Music
173,/m/01sm1g,Wood block,TBD,Musical instrument,Music
174,/m/07brj,Tambourine,TBD,Musical instrument,Music
175,/m/05r5wn,Rattle (instrument),TBD,Musical instrument,Music
176,/m/0xzly,Maraca,TBD,Musical instrument,Music
177,/m/0mbct,Gong,TBD,Musical instrument,Music
178,/m/016622,Tubular bells,TBD,Musical instrument,Music
179,/m/0j45pbj,Mallet percussion,TBD,Musical instrument,Music
180,/m/0dwsp,Marimba xylophone,TBD,Musical instrument,Music
181,/m/0dwtp,Glockenspiel,TBD,Musical instrument,Music
182,/m/0dwt5,Vibraphone,TBD,Musical instrument,Music
183,/m/0l156b,Steelpan,TBD,Musical instrument,Music
184,/m/05pd6,Orchestra,TBD,Musical instrument,Music
185,/m/01kcd,Brass instrument,TBD,Musical instrument,Music
186,/m/0319l,French horn,TBD,Musical instrument,Music
187,/m/07gql,Trumpet,TBD,Musical instrument,Music
188,/m/07c6l,Trombone,TBD,Musical instrument,Music
189,/m/0l14_3,Bowed string instrument,TBD,Musical instrument,Music
190,/m/02qmj0d,String section,TBD,Musical instrument,Music
191,/m/07y_7,Violin fiddle,TBD,Musical instrument,Music
192,/m/0d8_n,Pizzicato,TBD,Musical instrument,Music
193,/m/01xqw,Cello,TBD,Musical instrument,Music
194,/m/02fsn,Double bass,TBD,Musical instrument,Music
195,/m/085jw,Wind instrument woodwind instrument,TBD,Musical instrument,Music
196,/m/0l14j_,Flute,TBD,Musical instrument,Music
197,/m/06ncr,Saxophone,TBD,Musical instrument,Music
198,/m/01wy6,Clarinet,TBD,Musical instrument,Music
199,/m/03m5k,Harp,TBD,Musical instrument,Music
200,/m/0395lw,Bell,TBD,Musical instrument,Music
201,/m/03w41f,Church bell,TBD,Musical instrument,Music
202,/m/027m70_,Jingle bell,TBD,Musical instrument,Music
203,/m/0gy1t2s,Bicycle bell,TBD,Musical instrument,Music
204,/m/07n_g,Tuning fork,TBD,Musical instrument,Music
205,/m/0f8s22,Chime,TBD,Musical instrument,Music
206,/m/026fgl,Wind chime,TBD,Musical instrument,Music
207,/m/0150b9,Change ringing (campanology),TBD,Musical instrument,Music
208,/m/03qjg,Harmonica,TBD,Musical instrument,Music
209,/m/0mkg,Accordion,TBD,Musical instrument,Music
210,/m/0192l,Bagpipes,TBD,Musical instrument,Music
211,/m/02bxd,Didgeridoo,TBD,Musical instrument,Music
212,/m/0l14l2,Shofar,TBD,Musical instrument,Music
213,/m/07kc_,Theremin,TBD,Musical instrument,Music
214,/m/0l14t7,Singing bowl,TBD,Musical instrument,Music
215,/m/01hgjl,Scratching (performance technique),TBD,Musical instrument,Music
216,/m/064t9,Pop music,TBD,Music genre,Music
217,/m/0glt670,Hip hop music,TBD,Music genre,Music
218,/m/02cz_7,Beatboxing,TBD,Music genre,Music
219,/m/06by7,Rock music,TBD,Music genre,Music
220,/m/03lty,Heavy metal,TBD,Music genre,Music
221,/m/05r6t,Punk rock,TBD,Music genre,Music
222,/m/0dls3,Grunge,TBD,Music genre,Music
223,/m/0dl5d,Progressive rock,TBD,Music genre,Music
224,/m/07sbbz2,Rock and roll,TBD,Music genre,Music
225,/m/05w3f,Psychedelic rock,TBD,Music genre,Music
226,/m/06j6l,Rhythm and blues,TBD,Music genre,Music
227,/m/0gywn,Soul music,TBD,Music genre,Music
228,/m/06cqb,Reggae,TBD,Music genre,Music
229,/m/01lyv,Country,TBD,Music genre,Music
230,/m/015y_n,Swing music,TBD,Music genre,Music
231,/m/0gg8l,Bluegrass,TBD,Music genre,Music
232,/m/02x8m,Funk,TBD,Music genre,Music
233,/m/02w4v,Folk music,TBD,Music genre,Music
234,/m/06j64v,Middle Eastern music,TBD,Music genre,Music
235,/m/03_d0,Jazz,TBD,Music genre,Music
236,/m/026z9,Disco,TBD,Music genre,Music
237,/m/0ggq0m,Classical music,TBD,Music genre,Music
238,/m/05lls,Opera,TBD,Music genre,Music
239,/m/02lkt,Electronic music,TBD,Music genre,Music
240,/m/03mb9,House music,TBD,Music genre,Music
241,/m/07gxw,Techno,TBD,Music genre,Music
242,/m/07s72n,Dubstep,TBD,Music genre,Music
243,/m/0283d,Drum and bass,TBD,Music genre,Music
244,/m/0m0jc,Electronica,TBD,Music genre,Music
245,/m/08cyft,Electronic dance music,TBD,Music genre,Music
246,/m/0fd3y,Ambient music,TBD,Music genre,Music
247,/m/07lnk,Trance music,TBD,Music genre,Music
248,/m/0g293,Music of Latin America,TBD,Music genre,Music
249,/m/0ln16,Salsa music,TBD,Music genre,Music
250,/m/0326g,Flamenco,TBD,Music genre,Music
251,/m/0155w,Blues,TBD,Music genre,Music
252,/m/05fw6t,Music for children,TBD,Music genre,Music
253,/m/02v2lh,New-age music,TBD,Music genre,Music
254,/m/0y4f8,Vocal music,TBD,Music genre,Music
255,/m/0z9c,A capella,TBD,Music genre,Music
256,/m/0164x2,Music of Africa,TBD,Music genre,Music
257,/m/0145m,Afrobeat,TBD,Music genre,Music
258,/m/02mscn,Christian music,TBD,Music genre,Music
259,/m/016cjb,Gospel music,TBD,Music genre,Music
260,/m/028sqc,Music of Asia,TBD,Music genre,Music
261,/m/015vgc,Carnatic music,TBD,Music genre,Music
262,/m/0dq0md,Music of Bollywood,TBD,Music genre,Music
263,/m/06rqw,Ska,TBD,Music genre,Music
264,/m/02p0sh1,Traditional music,TBD,Music genre,Music
265,/m/05rwpb,Independent music,TBD,Music genre,Music
266,/m/074ft,Song,TBD,Musical concept,Music
267,/m/025td0t,Background music,TBD,Music role,Music
268,/m/02cjck,Theme music,TBD,Music role,Music
269,/m/03r5q_,Jingle (music),TBD,Music role,Music
270,/m/0l14gg,Soundtrack music,TBD,Music role,Music
271,/m/07pkxdp,Lullaby,TBD,Music role,Music
272,/m/01z7dr,Video game music,TBD,Music role,Music
273,/m/0140xf,Christmas music,TBD,Music role,Music
274,/m/0ggx5q,Dance music,TBD,Music role,Music
275,/m/04wptg,Wedding music,TBD,Music role,Music
276,/t/dd00031,Happy music,TBD,Music mood,Music
277,/t/dd00032,Funny music,TBD,Music mood,Music
278,/t/dd00033,Sad music,TBD,Music mood,Music
279,/t/dd00034,Tender music,TBD,Music mood,Music
280,/t/dd00035,Exciting music,TBD,Music mood,Music
281,/t/dd00036,Angry music,TBD,Music mood,Music
282,/t/dd00037,Scary music,TBD,Music mood,Music
283,/m/03m9d0z,Wind,TBD,Wind,Natural Sounds
284,/m/09t49,Rustling leaves,TBD,Wind,Natural Sounds
285,/t/dd00092,Wind noise (microphone),TBD,Wind,Natural Sounds
286,/m/0jb2l,Thunderstorm,TBD,Thunderstorm,Natural Sounds
287,/m/0ngt1,Thunder,TBD,Thunderstorm,Natural Sounds
288,/m/0838f,Water,TBD,Water,Natural Sounds
289,/m/06mb1,Rain,TBD,Water,Natural Sounds
290,/m/07r10fb,Raindrop,TBD,Water,Natural Sounds
291,/t/dd00038,Rain on surface,TBD,Water,Natural Sounds
292,/m/0j6m2,Stream,TBD,Water,Natural Sounds
293,/m/0j2kx,Waterfall,TBD,Water,Natural Sounds
294,/m/05kq4,Ocean,TBD,Water,Natural Sounds
295,/m/034srq,Waves surf,TBD,Water,Natural Sounds
296,/m/06wzb,Steam,TBD,Water,Natural Sounds
297,/m/07swgks,Gurgling,TBD,Water,Natural Sounds
298,/m/02_41,Fire,TBD,Fire,Natural Sounds
299,/m/07pzfmf,Crackle,TBD,Fire,Natural Sounds
300,/m/07yv9,Vehicle,TBD,Vehicle,Sounds of things
301,/m/019jd,Boat Water vehicle,TBD,Vehicle,Sounds of things
302,/m/0hsrw,Sailboat sailing ship,TBD,Vehicle,Sounds of things
303,/m/056ks2,Rowboat canoe kayak,TBD,Vehicle,Sounds of things
304,/m/02rlv9,Motorboat speedboat,TBD,Vehicle,Sounds of things
305,/m/06q74,Ship,TBD,Vehicle,Sounds of things
306,/m/012f08,Motor vehicle (road),TBD,Vehicle,Sounds of things
307,/m/0k4j,Car,TBD,Vehicle,Sounds of things
308,/m/0912c9,Vehicle horn car horn honking,TBD,Vehicle,Sounds of things
309,/m/07qv_d5,Toot,TBD,Vehicle,Sounds of things
310,/m/02mfyn,Car alarm,TBD,Vehicle,Sounds of things
311,/m/04gxbd,Power windows electric windows,TBD,Vehicle,Sounds of things
312,/m/07rknqz,Skidding,TBD,Vehicle,Sounds of things
313,/m/0h9mv,Tire squeal,TBD,Vehicle,Sounds of things
314,/t/dd00134,Car passing by,TBD,Vehicle,Sounds of things
315,/m/0ltv,Race car auto racing,TBD,Vehicle,Sounds of things
316,/m/07r04,Truck,TBD,Vehicle,Sounds of things
317,/m/0gvgw0,Air brake,TBD,Vehicle,Sounds of things
318,/m/05x_td,Air horn truck horn,TBD,Vehicle,Sounds of things
319,/m/02rhddq,Reversing beeps,TBD,Vehicle,Sounds of things
320,/m/03cl9h,Ice cream truck ice cream van,TBD,Vehicle,Sounds of things
321,/m/01bjv,Bus,TBD,Vehicle,Sounds of things
322,/m/03j1ly,Emergency vehicle,TBD,Vehicle,Sounds of things
323,/m/04qvtq,Police car (siren),TBD,Vehicle,Sounds of things
324,/m/012n7d,Ambulance (siren),TBD,Vehicle,Sounds of things
325,/m/012ndj,Fire engine fire truck (siren),TBD,Vehicle,Sounds of things
326,/m/04_sv,Motorcycle,TBD,Vehicle,Sounds of things
327,/m/0btp2,Traffic noise roadway noise,TBD,Vehicle,Sounds of things
328,/m/06d_3,Rail transport,TBD,Vehicle,Sounds of things
329,/m/07jdr,Train,TBD,Vehicle,Sounds of things
330,/m/04zmvq,Train whistle,TBD,Vehicle,Sounds of things
331,/m/0284vy3,Train horn,TBD,Vehicle,Sounds of things
332,/m/01g50p,Railroad car train wagon,TBD,Vehicle,Sounds of things
333,/t/dd00048,Train wheels squealing,TBD,Vehicle,Sounds of things
334,/m/0195fx,Subway metro underground,TBD,Vehicle,Sounds of things
335,/m/0k5j,Aircraft,TBD,Vehicle,Sounds of things
336,/m/014yck,Aircraft engine,TBD,Vehicle,Sounds of things
337,/m/04229,Jet engine,TBD,Vehicle,Sounds of things
338,/m/02l6bg,Propeller airscrew,TBD,Vehicle,Sounds of things
339,/m/09ct_,Helicopter,TBD,Vehicle,Sounds of things
340,/m/0cmf2,Fixed-wing aircraft airplane,TBD,Vehicle,Sounds of things
341,/m/0199g,Bicycle,TBD,Vehicle,Sounds of things
342,/m/06_fw,Skateboard,TBD,Vehicle,Sounds of things
343,/m/02mk9,Engine,TBD,Engine,Sounds of things
344,/t/dd00065,Light engine (high frequency),TBD,Engine,Sounds of things
345,/m/08j51y,Dental drill dentist's drill,TBD,Engine,Sounds of things
346,/m/01yg9g,Lawn mower,TBD,Engine,Sounds of things
347,/m/01j4z9,Chainsaw,TBD,Engine,Sounds of things
348,/t/dd00066,Medium engine (mid frequency),TBD,Engine,Sounds of things
349,/t/dd00067,Heavy engine (low frequency),TBD,Engine,Sounds of things
350,/m/01h82_,Engine knocking,TBD,Engine,Sounds of things
351,/t/dd00130,Engine starting,TBD,Engine,Sounds of things
352,/m/07pb8fc,Idling,TBD,Engine,Sounds of things
353,/m/07q2z82,Accelerating revving vroom,TBD,Engine,Sounds of things
354,/m/02dgv,Door,TBD,Domestic sounds home sounds,Sounds of things
355,/m/03wwcy,Doorbell,TBD,Domestic sounds home sounds,Sounds of things
356,/m/07r67yg,Ding-dong,TBD,Domestic sounds home sounds,Sounds of things
357,/m/02y_763,Sliding door,TBD,Domestic sounds home sounds,Sounds of things
358,/m/07rjzl8,Slam,TBD,Domestic sounds home sounds,Sounds of things
359,/m/07r4wb8,Knock,TBD,Domestic sounds home sounds,Sounds of things
360,/m/07qcpgn,Tap,TBD,Domestic sounds home sounds,Sounds of things
361,/m/07q6cd_,Squeak,TBD,Domestic sounds home sounds,Sounds of things
362,/m/0642b4,Cupboard open or close,TBD,Domestic sounds home sounds,Sounds of things
363,/m/0fqfqc,Drawer open or close,TBD,Domestic sounds home sounds,Sounds of things
364,/m/04brg2,Dishes pots and pans,TBD,Domestic sounds home sounds,Sounds of things
365,/m/023pjk,Cutlery silverware,TBD,Domestic sounds home sounds,Sounds of things
366,/m/07pn_8q,Chopping (food),TBD,Domestic sounds home sounds,Sounds of things
367,/m/0dxrf,Frying (food),TBD,Domestic sounds home sounds,Sounds of things
368,/m/0fx9l,Microwave oven,TBD,Domestic sounds home sounds,Sounds of things
369,/m/02pjr4,Blender,TBD,Domestic sounds home sounds,Sounds of things
370,/m/02jz0l,Water tap faucet,TBD,Domestic sounds home sounds,Sounds of things
371,/m/0130jx,Sink (filling or washing),TBD,Domestic sounds home sounds,Sounds of things
372,/m/03dnzn,Bathtub (filling or washing),TBD,Domestic sounds home sounds,Sounds of things
373,/m/03wvsk,Hair dryer,TBD,Domestic sounds home sounds,Sounds of things
374,/m/01jt3m,Toilet flush,TBD,Domestic sounds home sounds,Sounds of things
375,/m/012xff,Toothbrush,TBD,Domestic sounds home sounds,Sounds of things
376,/m/04fgwm,Electric toothbrush,TBD,Domestic sounds home sounds,Sounds of things
377,/m/0d31p,Vacuum cleaner,TBD,Domestic sounds home sounds,Sounds of things
378,/m/01s0vc,Zipper (clothing),TBD,Domestic sounds home sounds,Sounds of things
379,/m/03v3yw,Keys jangling,TBD,Domestic sounds home sounds,Sounds of things
380,/m/0242l,Coin (dropping),TBD,Domestic sounds home sounds,Sounds of things
381,/m/01lsmm,Scissors,TBD,Domestic sounds home sounds,Sounds of things
382,/m/02g901,Electric shaver electric razor,TBD,Domestic sounds home sounds,Sounds of things
383,/m/05rj2,Shuffling cards,TBD,Domestic sounds home sounds,Sounds of things
384,/m/0316dw,Typing,TBD,Domestic sounds home sounds,Sounds of things
385,/m/0c2wf,Typewriter,TBD,Domestic sounds home sounds,Sounds of things
386,/m/01m2v,Computer keyboard,TBD,Domestic sounds home sounds,Sounds of things
387,/m/081rb,Writing,TBD,Domestic sounds home sounds,Sounds of things
388,/m/07pp_mv,Alarm,TBD,Alarm,Sounds of things
389,/m/07cx4,Telephone,TBD,Alarm,Sounds of things
390,/m/07pp8cl,Telephone bell ringing,TBD,Alarm,Sounds of things
391,/m/01hnzm,Ringtone,TBD,Alarm,Sounds of things
392,/m/02c8p,Telephone dialing DTMF,TBD,Alarm,Sounds of things
393,/m/015jpf,Dial tone,TBD,Alarm,Sounds of things
394,/m/01z47d,Busy signal,TBD,Alarm,Sounds of things
395,/m/046dlr,Alarm clock,TBD,Alarm,Sounds of things
396,/m/03kmc9,Siren,TBD,Alarm,Sounds of things
397,/m/0dgbq,Civil defense siren,TBD,Alarm,Sounds of things
398,/m/030rvx,Buzzer,TBD,Alarm,Sounds of things
399,/m/01y3hg,Smoke detector smoke alarm,TBD,Alarm,Sounds of things
400,/m/0c3f7m,Fire alarm,TBD,Alarm,Sounds of things
401,/m/04fq5q,Foghorn,TBD,Alarm,Sounds of things
402,/m/0l156k,Whistle,TBD,Alarm,Sounds of things
403,/m/06hck5,Steam whistle,TBD,Alarm,Sounds of things
404,/t/dd00077,Mechanisms,TBD,Mechanisms,Sounds of things
405,/m/02bm9n,Ratchet pawl,TBD,Mechanisms,Sounds of things
406,/m/01x3z,Clock,TBD,Mechanisms,Sounds of things
407,/m/07qjznt,Tick,TBD,Mechanisms,Sounds of things
408,/m/07qjznl,Tick-tock,TBD,Mechanisms,Sounds of things
409,/m/0l7xg,Gears,TBD,Mechanisms,Sounds of things
410,/m/05zc1,Pulleys,TBD,Mechanisms,Sounds of things
411,/m/0llzx,Sewing machine,TBD,Mechanisms,Sounds of things
412,/m/02x984l,Mechanical fan,TBD,Mechanisms,Sounds of things
413,/m/025wky1,Air conditioning,TBD,Mechanisms,Sounds of things
414,/m/024dl,Cash register,TBD,Mechanisms,Sounds of things
415,/m/01m4t,Printer,TBD,Mechanisms,Sounds of things
416,/m/0dv5r,Camera,TBD,Mechanisms,Sounds of things
417,/m/07bjf,Single-lens reflex camera,TBD,Mechanisms,Sounds of things
418,/m/07k1x,Tools,TBD,Tools,Sounds of things
